OCCUPANT  ID,BUSINESS NAME,ADDRESS NUMBER,STREET PREFIX,STREET NAME,STREET TYPE,FULL ADDRESS,APARTMENT/SUITE,CITY,STATE,ZIP CODE,INSPECTION DATE,INSPECTION TYPE CODE,INSPECTION TYPE DESCRIPTION,INSPECTION VIOLATION CODE,INSPECTION VIOLATION DESCRIPTION,GEOLOCATION
1690,RIVER HOUSE APARTMENTS,101,,RIVER HOUSE,PL,101 RIVER HOUSE PL,BLDG 1,Baton Rouge,LA,70802,8/27/2018,IMPAR,Impairment Notification,MISC,Miscellaneous Provisions,POINT (-91.188337 30.434201000000005)
1690,RIVER HOUSE APARTMENTS,101,,RIVER HOUSE,PL,101 RIVER HOUSE PL,BLDG 1,Baton Rouge,LA,70802,7/11/2018,IMPAR,Impairment Notification,MISC,Miscellaneous Provisions,POINT (-91.188337 30.434201000000005)
1690,RIVER HOUSE APARTMENTS,101,,RIVER HOUSE,PL,101 RIVER HOUSE PL,BLDG 1,Baton Rouge,LA,70802,6/23/2018,IMPAR,Impairment Notification,MISC,Miscellaneous Provisions,POINT (-91.188337 30.434201000000005)
21119,Belle of Baton Rouge Casio and Hotel,102,,FRANCE,ST,102 FRANCE ST,1,Baton Rouge,LA,70802,7/17/2017,REG,Annual Inspection,10:6.3.1,Maintenance,POINT (-91.189154 30.442766)
21119,Belle of Baton Rouge Casio and Hotel,102,,FRANCE,ST,102 FRANCE ST,1,Baton Rouge,LA,70802,6/6/2016,IMPAR,Impairment Notification,10:6.3.1,Maintenance,POINT (-91.189154 30.442766)
20168,The Belle of Baton Rouge Casino an Hotel,102,,FRANCE,ST,102 FRANCE ST,Plot,Baton Rouge,LA,70802,7/27/2020,REG,Annual Inspection,7.1.10.1*,General.,POINT (-91.189154 30.442766)
20168,The Belle of Baton Rouge Casino an Hotel,102,,FRANCE,ST,102 FRANCE ST,Plot,Baton Rouge,LA,70802,5/15/2019,REG,Annual Inspection,7.1.10.1*,General.,POINT (-91.189154 30.442766)
20168,The Belle of Baton Rouge Casino an Hotel,102,,FRANCE,ST,102 FRANCE ST,Plot,Baton Rouge,LA,70802,2/2/2018,REG,Annual Inspection,7.1.10.1*,General.,POINT (-91.189154 30.442766)
20168,The Belle of Baton Rouge Casino an Hotel,102,,FRANCE,ST,102 FRANCE ST,Plot,Baton Rouge,LA,70802,7/17/2017,REG,Annual Inspection,7.1.10.1*,General.,POINT (-91.189154 30.442766)
20168,The Belle of Baton Rouge Casino an Hotel,102,,FRANCE,ST,102 FRANCE ST,Plot,Baton Rouge,LA,70802,7/27/2020,REG,Annual Inspection,7.10.1.1,Where Required.,POINT (-91.189154 30.442766)
20168,The Belle of Baton Rouge Casino an Hotel,102,,FRANCE,ST,102 FRANCE ST,Plot,Baton Rouge,LA,70802,5/15/2019,REG,Annual Inspection,7.10.1.1,Where Required.,POINT (-91.189154 30.442766)
20168,The Belle of Baton Rouge Casino an Hotel,102,,FRANCE,ST,102 FRANCE ST,Plot,Baton Rouge,LA,70802,2/2/2018,REG,Annual Inspection,7.10.1.1,Where Required.,POINT (-91.189154 30.442766)
20168,The Belle of Baton Rouge Casino an Hotel,102,,FRANCE,ST,102 FRANCE ST,Plot,Baton Rouge,LA,70802,7/17/2017,REG,Annual Inspection,7.10.1.1,Where Required.,POINT (-91.189154 30.442766)
20168,The Belle of Baton Rouge Casino an Hotel,102,,FRANCE,ST,102 FRANCE ST,Plot,Baton Rouge,LA,70802,7/27/2020,REG,Annual Inspection,7.10.5.2.1,Every Sign Required,POINT (-91.189154 30.442766)
20168,The Belle of Baton Rouge Casino an Hotel,102,,FRANCE,ST,102 FRANCE ST,Plot,Baton Rouge,LA,70802,5/15/2019,REG,Annual Inspection,7.10.5.2.1,Every Sign Required,POINT (-91.189154 30.442766)
20168,The Belle of Baton Rouge Casino an Hotel,102,,FRANCE,ST,102 FRANCE ST,Plot,Baton Rouge,LA,70802,2/2/2018,REG,Annual Inspection,7.10.5.2.1,Every Sign Required,POINT (-91.189154 30.442766)
20168,The Belle of Baton Rouge Casino an Hotel,102,,FRANCE,ST,102 FRANCE ST,Plot,Baton Rouge,LA,70802,7/17/2017,REG,Annual Inspection,7.10.5.2.1,Every Sign Required,POINT (-91.189154 30.442766)
21119,Belle of Baton Rouge Casio and Hotel,102,,FRANCE,ST,102 FRANCE ST,1,Baton Rouge,LA,70802,6/6/2016,IMPAR,Impairment Notification,9.6.2.7,Sprinkler System,POINT (-91.189154 30.442766)
20168,The Belle of Baton Rouge Casino an Hotel,102,,FRANCE,ST,102 FRANCE ST,Plot,Baton Rouge,LA,70802,9/22/2010,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.189154 30.442766)
20168,The Belle of Baton Rouge Casino an Hotel,102,,FRANCE,ST,102 FRANCE ST,Plot,Baton Rouge,LA,70802,9/21/2010,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.189154 30.442766)
20168,The Belle of Baton Rouge Casino an Hotel,102,,FRANCE,ST,102 FRANCE ST,Plot,Baton Rouge,LA,70802,7/27/2020,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.189154 30.442766)
20168,The Belle of Baton Rouge Casino an Hotel,102,,FRANCE,ST,102 FRANCE ST,Plot,Baton Rouge,LA,70802,5/15/2019,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.189154 30.442766)
20168,The Belle of Baton Rouge Casino an Hotel,102,,FRANCE,ST,102 FRANCE ST,Plot,Baton Rouge,LA,70802,2/2/2018,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.189154 30.442766)
21119,Belle of Baton Rouge Casio and Hotel,102,,FRANCE,ST,102 FRANCE ST,1,Baton Rouge,LA,70802,7/17/2017,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.189154 30.442766)
21119,Belle of Baton Rouge Casio and Hotel,102,,FRANCE,ST,102 FRANCE ST,1,Baton Rouge,LA,70802,7/17/2017,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.189154 30.442766)
21119,Belle of Baton Rouge Casio and Hotel,102,,FRANCE,ST,102 FRANCE ST,1,Baton Rouge,LA,70802,7/17/2017,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.189154 30.442766)
20168,The Belle of Baton Rouge Casino an Hotel,102,,FRANCE,ST,102 FRANCE ST,Plot,Baton Rouge,LA,70802,7/17/2017,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.189154 30.442766)
20168,The Belle of Baton Rouge Casino an Hotel,102,,FRANCE,ST,102 FRANCE ST,Plot,Baton Rouge,LA,70802,6/19/2017,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.189154 30.442766)
20168,The Belle of Baton Rouge Casino an Hotel,102,,FRANCE,ST,102 FRANCE ST,Plot,Baton Rouge,LA,70802,6/19/2017,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.189154 30.442766)
21119,Belle of Baton Rouge Casio and Hotel,102,,FRANCE,ST,102 FRANCE ST,1,Baton Rouge,LA,70802,6/6/2016,IMPAR,Impairment Notification,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.189154 30.442766)
21119,Belle of Baton Rouge Casio and Hotel,102,,FRANCE,ST,102 FRANCE ST,1,Baton Rouge,LA,70802,6/6/2014,FAINV,Fire Alarm Investigation,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.189154 30.442766)
21119,Belle of Baton Rouge Casio and Hotel,102,,FRANCE,ST,102 FRANCE ST,1,Baton Rouge,LA,70802,3/29/2011,FAINV,Fire Alarm Investigation,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.189154 30.442766)
1403,Maritime II Plaza,103,,FRANCE,ST,103 FRANCE ST,,Baton Rouge,LA,70802,7/27/2020,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.189269 30.442762)
1403,Maritime II Plaza,103,,FRANCE,ST,103 FRANCE ST,,Baton Rouge,LA,70802,5/15/2019,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.189269 30.442762000000002)
1403,Maritime II Plaza,103,,FRANCE,ST,103 FRANCE ST,,Baton Rouge,LA,70802,8/6/2015,IMPAR,Impairment Notification,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.189269 30.442762000000002)
1403,Maritime II Plaza,103,,FRANCE,ST,103 FRANCE ST,,Baton Rouge,LA,70802,12/10/2013,IMPAR,Impairment Notification,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.189269 30.442762000000002)
1403,Maritime II Plaza,103,,FRANCE,ST,103 FRANCE ST,,Baton Rouge,LA,70802,7/18/2013,INT,Interior Renovation,NOTREADY,Not ready for final,POINT (-91.189269 30.442762000000002)
1403,Maritime II Plaza,103,,FRANCE,ST,103 FRANCE ST,,Baton Rouge,LA,70802,3/8/2013,INT,Interior Renovation,NOTREADY,Not ready for final,POINT (-91.189269 30.442762000000002)
1743,Stroubes,107,,THIRD,ST,107 THIRD ST,,BATON ROUGE,LA,70801,11/7/2019,REG,Annual Inspection,10:6.3.1,Maintenance,POINT (-91.188165 30.447306)
1743,Stroubes,107,,THIRD,ST,107 THIRD ST,,BATON ROUGE,LA,70801,11/2/2020,REG,Annual Inspection,10:6.3.1,Maintenance,POINT (-91.188165 30.447306)
1743,Stroubes,107,,THIRD,ST,107 THIRD ST,,BATON ROUGE,LA,70801,11/13/2018,REG,Annual Inspection,10:6.3.1,Maintenance,POINT (-91.188165 30.447306000000005)
30001,Stroube's Chophouse,107,N,THIRD,ST,107 N THIRD ST,,Baton Rouge,LA,70805,11/30/2017,REG,Annual Inspection,10:6.3.1,Maintenance,POINT (-91.188165 30.447306000000005)
1743,Stroubes,107,,THIRD,ST,107 THIRD ST,,BATON ROUGE,LA,70801,6/14/2017,REG,Annual Inspection,10:6.3.1,Maintenance,POINT (-91.188165 30.447306000000005)
30001,Stroube's Chophouse,107,N,THIRD,ST,107 N THIRD ST,,Baton Rouge,LA,70805,5/10/2016,REG,Annual Inspection,10:6.3.1,Maintenance,POINT (-91.188165 30.447306000000005)
30001,Stroube's Chophouse,107,N,THIRD,ST,107 N THIRD ST,,Baton Rouge,LA,70805,11/30/2017,REG,Annual Inspection,9.7.1.1*,Automatic Sprinklers,POINT (-91.188165 30.447306000000005)
30001,Stroube's Chophouse,107,N,THIRD,ST,107 N THIRD ST,,Baton Rouge,LA,70805,3/3/2009,SUPP,Suppression System Inspection,9.7.1.1*,Automatic Sprinklers,POINT (-91.188165 30.447306000000005)
30001,Stroube's Chophouse,107,N,THIRD,ST,107 N THIRD ST,,Baton Rouge,LA,70805,5/18/2009,HOOD,Hood Inspection,96:8.1.1,Upblast Exhaust Fans,POINT (-91.188165 30.447306000000005)
30001,Stroube's Chophouse,107,N,THIRD,ST,107 N THIRD ST,,Baton Rouge,LA,70805,4/23/2009,HOOD,Hood Inspection,96:8.1.1,Upblast Exhaust Fans,POINT (-91.188165 30.447306000000005)
1743,Stroubes,107,,THIRD,ST,107 THIRD ST,,BATON ROUGE,LA,70801,11/7/2019,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.188165 30.447306)
1743,Stroubes,107,,THIRD,ST,107 THIRD ST,,BATON ROUGE,LA,70801,11/2/2020,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.188165 30.447306)
1743,Stroubes,107,,THIRD,ST,107 THIRD ST,,BATON ROUGE,LA,70801,11/13/2018,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.188165 30.447306000000005)
30001,Stroube's Chophouse,107,N,THIRD,ST,107 N THIRD ST,,Baton Rouge,LA,70805,11/30/2017,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.188165 30.447306000000005)
30001,Stroube's Chophouse,107,N,THIRD,ST,107 N THIRD ST,,Baton Rouge,LA,70805,11/30/2017,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.188165 30.447306000000005)
1743,Stroubes,107,,THIRD,ST,107 THIRD ST,,BATON ROUGE,LA,70801,6/14/2017,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.188165 30.447306000000005)
30001,Stroube's Chophouse,107,N,THIRD,ST,107 N THIRD ST,,Baton Rouge,LA,70805,5/10/2016,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.188165 30.447306000000005)
30001,Stroube's Chophouse,107,N,THIRD,ST,107 N THIRD ST,,Baton Rouge,LA,70805,6/2/2011,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.188165 30.447306000000005)
5318,Circle K #2706823,110,S,Foster,DR,110 S Foster DR,,Baton Rouge,LA,70806,10/3/2019,REG,Annual Inspection,7.1.10.1*,General.,POINT (-91.138894 30.448309)
5318,Circle K #2706823,110,S,Foster,DR,110 S Foster DR,,Baton Rouge,LA,70806,10/5/2020,REG,Annual Inspection,7.1.10.1*,General.,POINT (-91.138894 30.448309)
5318,Circle K #2706823,110,S,Foster,DR,110 S Foster DR,,Baton Rouge,LA,70806,8/28/2018,REG,Annual Inspection,7.1.10.1*,General.,POINT (-91.138894 30.448309000000002)
5318,Circle K #2706823,110,S,Foster,DR,110 S Foster DR,,Baton Rouge,LA,70806,11/7/2017,OCC,Occupancy,7.1.10.1*,General.,POINT (-91.138894 30.448309000000002)
10890,Liner Building,111,,THIRD,ST,111 THIRD ST,,Baton Rouge,LA,70805,4/26/2010,NEW,New Construction,7.1.10.1*,General.,POINT (-91.188173 30.447525)
10890,Liner Building,111,,THIRD,ST,111 THIRD ST,,Baton Rouge,LA,70805,4/26/2010,NEW,New Construction,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.188173 30.447525)
4030,Station #7 (VACANT),112,N,Foster,DR,112 N Foster DR,,Baton Rouge,LA,70806,10/3/2019,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.138915 30.448753)
4030,Station #7 (VACANT),112,N,Foster,DR,112 N Foster DR,,Baton Rouge,LA,70806,9/9/2015,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.138915 30.448753)
4030,Station #7 (VACANT),112,N,Foster,DR,112 N Foster DR,,Baton Rouge,LA,70806,6/7/2016,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.138915 30.448753)
4030,Station #7 (VACANT),112,N,Foster,DR,112 N Foster DR,,Baton Rouge,LA,70806,6/10/2020,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.138915 30.448753)
4030,Station #7 (VACANT),112,N,Foster,DR,112 N Foster DR,,Baton Rouge,LA,70806,10/16/2017,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.138915 30.448753)
4030,Station #7 (VACANT),112,N,Foster,DR,112 N Foster DR,,Baton Rouge,LA,70806,8/28/2018,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.138915 30.448753)
14655,Taco Bell and KFC,122,N,Lobdell,BL,122 N Lobdell BL,,Baton Rouge,LA,70806,8/15/2013,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.112024 30.452811000000004)
14655,Taco Bell and KFC,122,N,Lobdell,BL,122 N Lobdell BL,,Baton Rouge,LA,70806,8/9/2011,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.112024 30.452811000000004)
7085,Bob Dean Classic Properties,124,,THIRD,ST,124 THIRD ST,1,Baton Rouge,LA,70808,11/7/2019,REG,Annual Inspection,10:6.3.1,Maintenance,POINT (-91.188172 30.447509)
11756,vacant,124,S,Donmoor,AV,124 S Donmoor AV,,Baton Rouge,LA,70806,1/16/2013,REG,Annual Inspection,10:6.3.1,Maintenance,POINT (-91.118354 30.450866)
11756,vacant,124,S,Donmoor,AV,124 S Donmoor AV,,Baton Rouge,LA,70806,5/21/2012,REG,Annual Inspection,10:6.3.1,Maintenance,POINT (-91.118354 30.450866)
11756,vacant,124,S,Donmoor,AV,124 S Donmoor AV,,Baton Rouge,LA,70806,6/18/2014,REG,Annual Inspection,10:6.3.1,Maintenance,POINT (-91.118354 30.450866)
7085,Bob Dean Classic Properties,124,,THIRD,ST,124 THIRD ST,1,Baton Rouge,LA,70808,11/2/2020,REG,Annual Inspection,10:6.3.1,Maintenance,POINT (-91.188172 30.447509)
7085,Bob Dean Classic Properties,124,,THIRD,ST,124 THIRD ST,1,Baton Rouge,LA,70808,11/13/2018,REG,Annual Inspection,10:6.3.1,Maintenance,POINT (-91.188172 30.447509)
7085,Bob Dean Classic Properties,124,,THIRD,ST,124 THIRD ST,1,Baton Rouge,LA,70808,8/15/2017,REG,Annual Inspection,10:6.3.1,Maintenance,POINT (-91.188172 30.447509)
7085,Bob Dean Classic Properties,124,,THIRD,ST,124 THIRD ST,1,Baton Rouge,LA,70808,5/11/2011,REG,Annual Inspection,10:6.3.1,Maintenance,POINT (-91.188172 30.447509)
7085,Bob Dean Classic Properties,124,,THIRD,ST,124 THIRD ST,1,Baton Rouge,LA,70808,11/7/2019,REG,Annual Inspection,7.10.1.1,Where Required.,POINT (-91.188172 30.447509)
7085,Bob Dean Classic Properties,124,,THIRD,ST,124 THIRD ST,1,Baton Rouge,LA,70808,11/2/2020,REG,Annual Inspection,7.10.1.1,Where Required.,POINT (-91.188172 30.447509)
7085,Bob Dean Classic Properties,124,,THIRD,ST,124 THIRD ST,1,Baton Rouge,LA,70808,11/13/2018,REG,Annual Inspection,7.10.1.1,Where Required.,POINT (-91.188172 30.447509)
7085,Bob Dean Classic Properties,124,,THIRD,ST,124 THIRD ST,1,Baton Rouge,LA,70808,8/15/2017,REG,Annual Inspection,7.10.1.1,Where Required.,POINT (-91.188172 30.447509)
7085,Bob Dean Classic Properties,124,,THIRD,ST,124 THIRD ST,1,Baton Rouge,LA,70808,5/11/2011,REG,Annual Inspection,7.10.1.1,Where Required.,POINT (-91.188172 30.447509)
7085,Bob Dean Classic Properties,124,,THIRD,ST,124 THIRD ST,1,Baton Rouge,LA,70808,11/7/2019,REG,Annual Inspection,7.9.1.1*,Emergency Lighting Facilities,POINT (-91.188172 30.447509)
7085,Bob Dean Classic Properties,124,,THIRD,ST,124 THIRD ST,1,Baton Rouge,LA,70808,11/2/2020,REG,Annual Inspection,7.9.1.1*,Emergency Lighting Facilities,POINT (-91.188172 30.447509)
7085,Bob Dean Classic Properties,124,,THIRD,ST,124 THIRD ST,1,Baton Rouge,LA,70808,11/13/2018,REG,Annual Inspection,7.9.1.1*,Emergency Lighting Facilities,POINT (-91.188172 30.447509)
7085,Bob Dean Classic Properties,124,,THIRD,ST,124 THIRD ST,1,Baton Rouge,LA,70808,8/15/2017,REG,Annual Inspection,7.9.1.1*,Emergency Lighting Facilities,POINT (-91.188172 30.447509)
7085,Bob Dean Classic Properties,124,,THIRD,ST,124 THIRD ST,1,Baton Rouge,LA,70808,5/11/2011,REG,Annual Inspection,7.9.1.1*,Emergency Lighting Facilities,POINT (-91.188172 30.447509)
10827,Spilway Seafood,124,S,22nd,ST,124 S 22nd ST,,BATON ROUGE,LA,70805,10/26/2017,REG,Annual Inspection,LOCKEDOUT,Locked Out,POINT (-91.165883 30.447587000000002)
10827,Spilway Seafood,124,S,22nd,ST,124 S 22nd ST,,BATON ROUGE,LA,70805,11/1/2017,OCC,Occupancy,LOCKEDOUT,Locked Out,POINT (-91.165883 30.447587000000002)
10827,Spilway Seafood,124,S,22nd,ST,124 S 22nd ST,,BATON ROUGE,LA,70805,11/3/2017,OCC,Occupancy,LOCKEDOUT,Locked Out,POINT (-91.165883 30.447587000000002)
10827,Spilway Seafood,124,S,22nd,ST,124 S 22nd ST,,BATON ROUGE,LA,70805,10/31/2017,OCC,Occupancy,LOCKEDOUT,Locked Out,POINT (-91.165883 30.447587000000002)
10827,Spilway Seafood,124,S,22nd,ST,124 S 22nd ST,,BATON ROUGE,LA,70805,11/3/2017,OCC,Occupancy,LOCKEDOUT,Locked Out,POINT (-91.165883 30.447587000000002)
10827,Spilway Seafood,124,S,22nd,ST,124 S 22nd ST,,BATON ROUGE,LA,70805,2/2/2016,OCC,Occupancy,LOCKEDOUT,Locked Out,POINT (-91.165883 30.447587000000002)
10827,Spilway Seafood,124,S,22nd,ST,124 S 22nd ST,,BATON ROUGE,LA,70805,1/14/2010,OCC,Occupancy,LOCKEDOUT,Locked Out,POINT (-91.165883 30.447587000000002)
10827,Spilway Seafood,124,S,22nd,ST,124 S 22nd ST,,BATON ROUGE,LA,70805,5/28/2009,OCC,Occupancy,LOCKEDOUT,Locked Out,POINT (-91.165883 30.447587000000002)
3122,Lyceum,124,,THIRD,ST,124 THIRD ST,Plot Plan,Baton Rouge,LA,70808,11/7/2019,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.188172 30.447509)
3122,Lyceum,124,,THIRD,ST,124 THIRD ST,Plot Plan,Baton Rouge,LA,70808,11/2/2020,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.188172 30.447509)
